Item_Identifier,Outlet_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,years,Item_Outlet_Sales
DRH01,OUT046,0.8712794632875336,1.0,0.2981325447496805,0.25,0.8027713066500568,0.3333333333333333,0.0,1.0,0.6372605002446154,0.6925551508235727
NCX29,OUT049,0.5090278490356095,1.0,0.2719049886844018,0.41666666666666663,0.720847941102198,1.0,0.0,1.0,0.5586639656001173,0.7926103422377048
FDV20,OUT027,0.6586315517838741,0.6666666666666666,0.18122244952988167,1.0,0.6574481882975389,1.0,1.0,0.3333333333333333,1.0,0.7417488521135632
DRZ11,OUT018,0.42994605118325535,0.6666666666666666,0.3444793277310433,0.25,0.6368596942052966,1.0,1.0,0.0,0.0,0.6492464716490199
FDX10,OUT027,0.6586315517838741,0.6666666666666666,0.3748929553320087,0.9166666666666666,0.07803884132864836,1.0,1.0,0.3333333333333333,1.0,0.41113440541887103
FDB34,OUT027,0.6586315517838741,1.0,0.08063850164347404,0.9166666666666666,0.4803793108355596,1.0,1.0,0.3333333333333333,1.0,0.7000284069695327
FDU02,OUT046,0.6960594323787082,1.0,0.3121630015209798,0.6666666666666666,0.9318912199132678,0.3333333333333333,0.0,1.0,0.6372605002446154,0.7761264930205155
FDK43,OUT013,0.4959501920148339,1.0,0.08166616699800142,0.16666666666666666,0.6498616297242927,0.0,1.0,1.0,0.9491638012385146,0.6977124602453858
FDA46,OUT049,0.7080694615898295,1.0,0.3587746517300471,0.9166666666666666,0.8485732110394197,1.0,0.0,1.0,0.5586639656001173,0.72474001930288
FDC02,OUT018,1.0,1.0,0.21042854993676618,0.5833333333333333,0.9876714259878199,1.0,1.0,0.0,0.0,0.8896348955012653
FDL50,OUT013,0.6350899754176278,0.6666666666666666,0.12874248592260223,0.5833333333333333,0.6517187940842875,0.0,1.0,1.0,0.9491638012385146,0.4046955803518625
FDM39,OUT010,0.2221561137420034,0.3333333333333333,0.272537737550549,0.6666666666666666,0.8113001002656288,0.6666666666666666,1.0,0.6666666666666666,0.5988556832143641,0.39768829207566314
NCP05,OUT045,0.9446396151606036,1.0,0.0,0.41666666666666663,0.741352989878671,0.6666666666666666,0.5,1.0,0.42548300017898155,0.7180831656696839
FDV49,OUT045,0.5090278490356095,1.0,0.07880721791393593,0.5833333333333333,0.9970790638969111,0.6666666666666666,0.5,1.0,0.42548300017898155,0.8642210281284787
FDL12,OUT046,0.8071742713691012,0.6666666666666666,0.370389993210166,0.5,0.3085371689185401,0.3333333333333333,0.0,1.0,0.6372605002446154,0.7279717325505876
FDS02,OUT019,0.6586315517838741,0.6666666666666666,0.7777160045227557,0.6666666666666666,0.8580663923489698,0.3333333333333333,0.0,0.6666666666666666,1.0,0.5280186291824708
NCL17,OUT046,0.31324054540290946,1.0,0.20639945288625922,0.41666666666666663,0.7117642171444158,0.3333333333333333,0.0,1.0,0.6372605002446154,0.7607813931194704
FDM40,OUT013,0.5215291329472411,1.0,0.48662685123708094,0.75,0.7040295933013243,0.0,1.0,1.0,0.9491638012385146,0.5425119333995313
FDR13,OUT013,0.5021950325813855,0.6666666666666666,0.08738648910627098,0.5833333333333333,0.6154775293785089,0.0,1.0,1.0,0.9491638012385146,0.5344628437181419
FDA43,OUT017,0.5645155633851051,1.0,0.1980614307310322,1.0,0.8568800997914101,0.6666666666666666,0.5,1.0,0.14432907008854023,0.7600687959919751
NCP18,OUT017,0.6350899754176278,1.0,0.08757858027195073,0.8333333333333333,0.7357456212773159,0.6666666666666666,0.5,1.0,0.14432907008854023,0.8326334482350318
FDK21,OUT018,0.3568491631946542,1.0,0.030613222018531398,0.9166666666666666,0.9677103706055199,1.0,1.0,0.0,0.0,0.8765218016045085
NCX54,OUT045,0.45470119762922656,1.0,0.14664636249352403,0.8333333333333333,0.5699329588515321,0.6666666666666666,0.5,1.0,0.42548300017898155,0.6951010373516665
DRK35,OUT049,0.3934622549775353,1.0,0.21912357036101981,0.0,0.09125979549618313,1.0,0.0,1.0,0.5586639656001173,0.5315516605592226
FDY21,OUT046,0.7757954947655119,1.0,0.5282767538403645,0.9166666666666666,0.852420271085065,0.3333333333333333,0.0,1.0,0.6372605002446154,0.8359109679069842
FDI26,OUT019,0.6586315517838741,1.0,0.18600444796669607,0.5833333333333333,0.8163392740693478,0.3333333333333333,0.0,0.6666666666666666,1.0,0.5504416867991372
FDM20,OUT018,0.5090278490356095,1.0,0.0,1.0,0.9637099542543246,1.0,1.0,0.0,0.0,0.763461928645626
FDV27,OUT045,0.3621500974312548,0.6666666666666666,0.1220226417446805,0.16666666666666666,0.4789480582017269,0.6666666666666666,0.5,1.0,0.42548300017898155,0.5797064210291502
FDF09,OUT027,0.6586315517838741,1.0,0.036816100058884686,1.0,0.09412240616032452,1.0,1.0,0.3333333333333333,1.0,0.44831378098126995
FDY40,OUT019,0.6586315517838741,0.6666666666666666,0.4576435218914743,0.75,0.22854009639100248,0.3333333333333333,0.0,0.6666666666666666,1.0,0.24951886584155536
FDY45,OUT027,0.6586315517838741,1.0,0.07922118182136981,0.9166666666666666,0.9802682945252612,1.0,1.0,0.3333333333333333,1.0,0.7257949943020298
FDC46,OUT010,0.878635474329025,0.3333333333333333,0.5940121893981073,0.9166666666666666,0.8301068185595013,0.6666666666666666,1.0,0.6666666666666666,0.5988556832143641,0.28656872639747233
FDH19,OUT035,0.9363298475723774,1.0,0.10074033770260926,0.16666666666666666,0.7965947720195077,0.3333333333333333,0.5,1.0,0.3237224473450442,0.834383333462471
FDZ03,OUT045,0.7104449578545042,0.6666666666666666,0.2404038706937805,0.6666666666666666,0.8316074171894785,0.6666666666666666,0.5,1.0,0.42548300017898155,0.5882923446631646
DRH37,OUT045,0.874967917743821,1.0,0.12698509582547932,0.25,0.7752406569445411,0.6666666666666666,0.5,1.0,0.42548300017898155,0.709129758216399
NCI17,OUT046,0.4147751926435619,1.0,0.4367435944062624,0.41666666666666663,0.5222184655912425,0.3333333333333333,0.0,1.0,0.6372605002446154,0.6878396611825334
FDJ58,OUT046,0.7968827667483493,0.6666666666666666,0.3206424313498434,0.9166666666666666,0.7900684291855096,0.3333333333333333,0.0,1.0,0.6372605002446154,0.7761264930205155
FDL12,OUT013,0.8071742713691012,0.6666666666666666,0.370081763033249,0.5,0.29763704303779126,0.0,1.0,1.0,0.9491638012385146,0.4838158960839055
FDH35,OUT045,0.898443812814727,1.0,0.0,0.3333333333333333,0.7749575790376588,0.6666666666666666,0.5,1.0,0.42548300017898155,0.8251548416211513
FDG02,OUT017,0.3527417762814613,1.0,0.034485914027082135,0.5833333333333333,0.8405366251771866,0.6666666666666666,0.5,1.0,0.14432907008854023,0.7078664404278009
NCZ18,OUT049,0.3502647757883528,0.0,0.5674856421438267,0.8333333333333333,0.9775877015295085,1.0,0.0,1.0,0.5586639656001173,0.8573351703589734
FDC29,OUT046,0.3953939842704577,0.6666666666666666,0.07370989105339164,0.75,0.6032353345589478,0.3333333333333333,0.0,1.0,0.6372605002446154,0.7082561700856908
FDQ10,OUT049,0.6713494855357807,1.0,0.10119285017563882,0.9166666666666666,0.7959682659301723,1.0,0.0,1.0,0.5586639656001173,0.6010455540541765
FDN48,OUT019,0.6586315517838741,1.0,0.3462956110471108,0.5,0.4927816769266733,0.3333333333333333,0.0,0.6666666666666666,1.0,0.4956618468178434
FDL04,OUT017,0.924513993980919,1.0,0.3427515517266937,0.75,0.5646296427761737,0.6666666666666666,0.5,1.0,0.14432907008854023,0.6469462768817388
FDV25,OUT045,0.16802790982663174,1.0,0.0,0.5833333333333333,0.9152340314812393,0.6666666666666666,0.5,1.0,0.42548300017898155,0.8488564199509091
FDD58,OUT046,0.34486520256600905,1.0,0.18073653175117357,0.9166666666666666,0.550679398860817,0.3333333333333333,0.0,1.0,0.6372605002446154,0.6581436234094725
FDN04,OUT046,0.6161689873185427,0.0,0.04289721469423694,0.75,0.8171160114184586,0.3333333333333333,0.0,1.0,0.6372605002446154,0.6291150361442502
FDV45,OUT018,0.8429250617346207,0.0,0.13773505108916706,0.9166666666666666,0.83642659735786,1.0,1.0,0.0,0.0,0.828367041134581
NCL18,OUT019,0.6586315517838741,1.0,0.8935013610667489,0.8333333333333333,0.8526662844496733,0.3333333333333333,0.0,0.6666666666666666,1.0,0.4792915987108789
FDR12,OUT027,0.6586315517838741,0.6666666666666666,0.09556306040445425,0.5,0.7933465518474301,1.0,1.0,0.3333333333333333,1.0,0.7584903214257731
FDG20,OUT017,0.792719909921491,0.6666666666666666,0.38490360580828187,1.0,0.8084166529932779,0.6666666666666666,0.5,1.0,0.14432907008854023,0.7215346036680484
FDZ55,OUT035,0.1842659353146725,1.0,0.07735870356572677,1.0,0.7641855074984942,0.3333333333333333,0.5,1.0,0.3237224473450442,0.7368169727545854
FDQ49,OUT027,0.6586315517838741,0.6666666666666666,0.11893652135624638,0.3333333333333333,0.7493800956139003,1.0,1.0,0.3333333333333333,1.0,0.7686636458391604
FDN33,OUT046,0.21045567250135178,0.6666666666666666,0.3749060829776587,0.9166666666666666,0.5212566020412814,0.3333333333333333,0.0,1.0,0.6372605002446154,0.500444709698853
FDN27,OUT049,0.9846598981216568,1.0,0.1206610786360652,0.16666666666666666,0.616399699020445,1.0,0.0,1.0,0.5586639656001173,0.6399961174929764
FDW20,OUT010,0.9815477670999211,1.0,0.12308863336878578,1.0,0.6354649674562882,0.6666666666666666,1.0,0.6666666666666666,0.5988556832143641,0.4028956833059467
DRG27,OUT049,0.4332291791289975,1.0,0.32057555679031685,0.6666666666666666,0.11356190017789958,1.0,0.0,1.0,0.5586639656001173,0.5075336261692683
DRI25,OUT045,0.9446396151606036,1.0,0.10344437082352222,0.25,0.2645003042454983,0.6666666666666666,0.5,1.0,0.42548300017898155,0.6236393983258585
FDA44,OUT035,0.9479338818411824,1.0,0.1620405566112011,1.0,0.28704862405074594,0.3333333333333333,0.5,1.0,0.3237224473450442,0.4902020748814292
NCR17,OUT035,0.4959501920148339,1.0,0.07423683919570158,0.41666666666666663,0.6054053989687302,0.3333333333333333,0.5,1.0,0.3237224473450442,0.6101200968250963
FDU04,OUT019,0.6586315517838741,1.0,0.029582407977944626,0.75,0.6272535717394101,0.3333333333333333,0.0,0.6666666666666666,1.0,0.44923098224845337
FDF41,OUT049,0.6350899754176278,1.0,0.4000833847588271,0.75,0.9620663084035366,1.0,0.0,1.0,0.5586639656001173,0.6044272612402656
FDB56,OUT035,0.42259004014176393,0.6666666666666666,0.22720812024331438,1.0,0.835183906644037,0.3333333333333333,0.5,1.0,0.3237224473450442,0.7910153070749418
NCP18,OUT027,0.6586315517838741,1.0,0.08666426761556167,0.8333333333333333,0.7311026962110989,1.0,1.0,0.3333333333333333,1.0,0.8161556813496483
FDB56,OUT046,0.42259004014176393,0.6666666666666666,0.22725109036805724,1.0,0.8361783238911484,0.3333333333333333,0.0,1.0,0.6372605002446154,0.6152868283747689
FDT28,OUT045,0.6936304538976468,1.0,0.1939611441421339,0.75,0.7345120190009085,0.6666666666666666,0.5,1.0,0.42548300017898155,0.6684536043603521
FDD10,OUT027,0.6586315517838741,0.6666666666666666,0.13946130147290176,0.9166666666666666,0.8124360695157637,1.0,1.0,0.3333333333333333,1.0,0.7451401195490023
FDW57,OUT049,0.3891920493497707,0.6666666666666666,0.3528027301166657,0.9166666666666666,0.8139189691769548,1.0,0.0,1.0,0.5586639656001173,0.7971918567750028
DRB48,OUT013,0.8429250617346207,0.6666666666666666,0.07561964223203863,0.25,0.10014444254218557,0.0,1.0,1.0,0.9491638012385146,0.5019534823694497
FDP09,OUT018,0.9495747496543263,1.0,0.10362011866417219,0.9166666666666666,0.892784929838859,1.0,1.0,0.0,0.0,0.7634969142894875
FDH14,OUT013,0.8563118136666874,0.6666666666666666,0.14242049083521022,0.5833333333333333,0.7029351578342955,0.0,1.0,1.0,0.9491638012385146,0.7051126258220847
FDA47,OUT013,0.540610795962819,0.6666666666666666,0.3549936522610848,0.5,0.7703144489722398,0.0,1.0,1.0,0.9491638012385146,0.6674010357684833
FDG12,OUT045,0.24347925668920856,0.6666666666666666,0.0,0.5,0.6321571237525925,0.6666666666666666,0.5,1.0,0.42548300017898155,0.7249603547466289
DRE60,OUT019,0.6586315517838741,0.0,0.8495181633325654,0.25,0.9211216719025317,0.3333333333333333,0.0,0.6666666666666666,1.0,0.504766805945081
DRK49,OUT013,0.7337324333320427,1.0,0.10936295661840227,0.25,0.13077276021867124,0.0,1.0,1.0,0.9491638012385146,0.5347374767780201
FDD03,OUT046,0.6936304538976468,1.0,0.24302212495820683,0.6666666666666666,0.9357082878953502,0.3333333333333333,0.0,1.0,0.6372605002446154,0.5096189953180515
FDS52,OUT017,0.4328652083543414,0.0,0.016765020575414884,0.75,0.5531075626551525,0.6666666666666666,0.5,1.0,0.14432907008854023,0.7377987281345809
FDW39,OUT019,0.6586315517838741,0.6666666666666666,0.1967939201539745,0.16666666666666666,0.8082431941225936,0.3333333333333333,0.0,0.6666666666666666,1.0,0.2791554642025853
FDX34,OUT027,0.6586315517838741,1.0,0.21814528517393844,0.9166666666666666,0.6336928687132439,1.0,1.0,0.3333333333333333,1.0,0.8056146599032251
FDV11,OUT045,0.44797847084402154,0.6666666666666666,0.0,0.08333333333333333,0.7982990630417519,0.6666666666666666,0.5,1.0,0.42548300017898155,0.7617032571575516
FDD17,OUT049,0.3228049129003221,1.0,0.09950846148170928,0.75,0.9486884114346927,1.0,0.0,1.0,0.5586639656001173,0.8678421289831951
FDZ16,OUT017,0.8467781802878669,0.6666666666666666,0.48953862759944283,0.75,0.8474454125677635,0.6666666666666666,0.5,1.0,0.14432907008854023,0.8336257609136807
FDZ46,OUT035,0.32150897251618193,1.0,0.21045235997187106,0.9166666666666666,0.5823372154604258,0.3333333333333333,0.5,1.0,0.3237224473450442,0.7257073332304024
DRA12,OUT017,0.6051033844305787,1.0,0.12539171755733047,0.25,0.7000568049002878,0.6666666666666666,0.5,1.0,0.14432907008854023,0.7264073397391081
FDY58,OUT018,0.6078875693922507,1.0,0.12205328205331652,0.9166666666666666,0.9246221221951072,1.0,1.0,0.0,0.0,0.5917437826615292
NCF19,OUT017,0.6788620109272943,1.0,0.10751612434822655,0.8333333333333333,0.19477326336617895,0.6666666666666666,0.5,1.0,0.14432907008854023,0.5050946979450252
DRJ13,OUT045,0.6611952066423432,0.3333333333333333,0.19189885526320902,0.25,0.7585466759194621,0.6666666666666666,0.5,1.0,0.42548300017898155,0.6926085869971937
FDB14,OUT010,0.9657586427423424,0.6666666666666666,0.5235795384956835,0.5833333333333333,0.5057259653883714,0.6666666666666666,1.0,0.6666666666666666,0.5988556832143641,0.28837185491883577
FDJ38,OUT035,0.4113968735514122,0.6666666666666666,0.12240876992748288,0.5833333333333333,0.841849071269678,0.3333333333333333,0.5,1.0,0.3237224473450442,0.7554348997293231
FDW11,OUT017,0.6586315517838741,1.0,0.14938905685061696,0.08333333333333333,0.3244048795962471,0.6666666666666666,0.5,1.0,0.14432907008854023,0.5456262336959171
FDL40,OUT035,0.878635474329025,1.0,0.03535712561723839,0.75,0.5183080080916982,0.3333333333333333,0.5,1.0,0.3237224473450442,0.5460114785436351
DRI49,OUT046,0.7337324333320427,1.0,0.5588074096366382,0.25,0.451881174819583,0.3333333333333333,0.0,1.0,0.6372605002446154,0.5910591648873517
FDV38,OUT017,0.9329758400394026,1.0,0.31166973274793186,0.6666666666666666,0.24405014130190916,0.6666666666666666,0.5,1.0,0.14432907008854023,0.5570548335127189
DRG23,OUT013,0.4321366522778036,1.0,0.2640419522160519,0.0,0.7366606949587733,0.0,1.0,1.0,0.9491638012385146,0.5241172890669011
NCP30,OUT045,0.9737013436886532,1.0,0.09998797835316703,0.8333333333333333,0.11784807604163894,0.6666666666666666,0.5,1.0,0.42548300017898155,0.5115211613834595
FDY25,OUT027,0.6586315517838741,1.0,0.10295628794250442,0.5833333333333333,0.8177964055998932,1.0,1.0,0.3333333333333333,1.0,0.9169506744407988
NCH54,OUT046,0.7032921557318597,1.0,0.2212884381941003,0.8333333333333333,0.7621526373144172,0.3333333333333333,0.0,1.0,0.6372605002446154,0.6303595683638429
NCR53,OUT027,0.6586315517838741,1.0,0.43953249588353455,0.41666666666666663,0.9191892644913522,1.0,1.0,0.3333333333333333,1.0,0.8946948922410211
FDS52,OUT010,0.4328652083543414,1.0,0.027903375704497187,0.75,0.5499075628924865,0.6666666666666666,1.0,0.6666666666666666,0.5988556832143641,0.18611250911585075
FDG02,OUT018,0.3527417762814613,1.0,0.03443163725694412,0.5833333333333333,0.83782241131739,1.0,1.0,0.0,0.0,0.5613227681478633
NCO26,OUT046,0.29951901818277227,1.0,0.234036986914755,0.8333333333333333,0.6114747340072051,0.3333333333333333,0.0,1.0,0.6372605002446154,0.6829874718095629
FDH35,OUT027,0.6586315517838741,1.0,0.18257773658243465,0.3333333333333333,0.7769355267172604,1.0,1.0,0.3333333333333333,1.0,0.8475065028569327
FDB51,OUT045,0.27070374420851806,1.0,0.1173359443513041,0.6666666666666666,0.30825388662472153,0.6666666666666666,0.5,1.0,0.42548300017898155,0.6152868283747689
FDX44,OUT017,0.46205124259677666,1.0,0.13157969567419378,1.0,0.4971001690186072,0.6666666666666666,0.5,1.0,0.14432907008854023,0.46493519226957025
NCN07,OUT010,0.9072510507919451,1.0,0.17301471111195182,0.3333333333333333,0.6720103060360434,0.6666666666666666,1.0,0.6666666666666666,0.5988556832143641,0.34639293643104774
NCC31,OUT035,0.3661984033442536,1.0,0.060497115164087886,0.8333333333333333,0.7452766930290853,0.3333333333333333,0.5,1.0,0.3237224473450442,0.6261216505515975
NCX54,OUT017,0.45470119762922656,1.0,0.14717737286717172,0.8333333333333333,0.5655177259823811,0.6666666666666666,0.5,1.0,0.14432907008854023,0.6577493032920271
NCO55,OUT045,0.6688258098025246,1.0,0.2777843163935201,0.3333333333333333,0.567428468259124,0.6666666666666666,0.5,1.0,0.42548300017898155,0.6971934247521622
NCC30,OUT049,0.8371020359104939,1.0,0.08411339036056499,0.8333333333333333,0.8100783747582443,1.0,0.0,1.0,0.5586639656001173,0.7343370931387138
FDI16,OUT035,0.7268337320981062,0.6666666666666666,0.0,0.75,0.24641580611683267,0.3333333333333333,0.5,1.0,0.3237224473450442,0.5529215664150088
FDP16,OUT049,0.9107406657425463,1.0,0.11984479852349646,0.75,0.9626995440834984,1.0,0.0,1.0,0.5586639656001173,0.903894736330697
FDB11,OUT035,0.8132715409919518,1.0,0.18525639750581677,0.3333333333333333,0.9241513985902587,0.3333333333333333,0.5,1.0,0.3237224473450442,0.8776576079128476
NCB06,OUT035,0.874967917743821,1.0,0.25066618462333495,0.41666666666666663,0.76331536188074,0.3333333333333333,0.5,1.0,0.3237224473450442,0.6479957399585853
FDA45,OUT035,0.9969609239686839,1.0,0.4730651071417474,0.9166666666666666,0.8116582997634914,0.3333333333333333,0.5,1.0,0.3237224473450442,0.463050870542162
NCO26,OUT035,0.29951901818277227,1.0,0.23399273173632057,0.8333333333333333,0.6174661211277979,0.3333333333333333,0.5,1.0,0.3237224473450442,0.6829874718095629
DRJ25,OUT017,0.7539980816252998,1.0,0.46109427169716016,0.25,0.2221013315996625,0.6666666666666666,0.5,1.0,0.14432907008854023,0.5752424548200304
FDR28,OUT018,0.7198607166744853,0.0,0.07917994134235393,0.75,0.7657159212294076,1.0,1.0,0.0,0.0,0.6674010357684833
FDI04,OUT018,0.7104449578545042,0.6666666666666666,0.2229338154594931,0.75,0.8598713528168349,1.0,1.0,0.0,0.0,0.7399868483443471
DRK12,OUT027,0.6586315517838741,1.0,0.1269324908432007,0.25,0.0,1.0,1.0,0.3333333333333333,1.0,0.55168621901873
FDX20,OUT046,0.31104697500265566,1.0,0.12960239086736336,1.0,0.9227747386225045,0.3333333333333333,0.0,1.0,0.6372605002446154,0.7626200719887316
NCI18,OUT018,0.9019811003363751,1.0,0.0428792452586117,0.8333333333333333,0.9173861405313319,1.0,1.0,0.0,0.0,0.7834882185293354
FDB36,OUT018,0.11790231798234374,0.6666666666666666,0.0,0.5,0.673540868474324,1.0,1.0,0.0,0.0,0.345545396329482
FDN13,OUT017,0.9107406657425463,1.0,0.4656595589230431,0.3333333333333333,0.5412693905957715,0.6666666666666666,0.5,1.0,0.14432907008854023,0.6778737724991398
DRD24,OUT017,0.7198607166744853,1.0,0.09430611345596529,0.25,0.7020474280215683,0.6666666666666666,0.5,1.0,0.14432907008854023,0.6585370168042836
FDQ28,OUT013,0.7268337320981062,0.6666666666666666,0.1838563954570392,0.75,0.7451813256451896,0.0,1.0,1.0,0.9491638012385146,0.7209943488286031
FDM22,OUT013,0.7268337320981062,0.6666666666666666,0.12766140557564942,0.9166666666666666,0.2611271848232737,0.0,1.0,1.0,0.9491638012385146,0.6174771510834
FDR07,OUT027,0.6586315517838741,1.0,0.23559550429508183,1.0,0.5278714310952579,1.0,1.0,0.3333333333333333,1.0,0.6687619279186011
FDV25,OUT018,0.16802790982663174,1.0,0.1395842707576702,0.5833333333333333,0.9152340314812393,1.0,1.0,0.0,0.0,0.7701830706057958
DRF49,OUT046,0.30264294981597595,1.0,0.21644305189557175,0.25,0.6041926153908714,0.3333333333333333,0.0,1.0,0.6372605002446154,0.7306747248188262
FDW51,OUT046,0.19486931745327585,0.6666666666666666,0.2882535940058859,0.16666666666666666,0.8981774877665556,0.3333333333333333,0.0,1.0,0.6372605002446154,0.7400673430861949
DRL01,OUT017,0.9413284979377765,0.6666666666666666,0.2363306250451215,0.25,0.9376419379478635,0.6666666666666666,0.5,1.0,0.14432907008854023,0.8510478140453474
FDP25,OUT017,0.7800682627914919,1.0,0.06494538637526635,0.5833333333333333,0.9032086673433373,0.6666666666666666,0.5,1.0,0.14432907008854023,0.7442006101839053
FDL50,OUT018,0.6350899754176278,0.6666666666666666,0.1293745892167527,0.5833333333333333,0.6461540839151354,1.0,1.0,0.0,0.0,0.6625488463955128
NCB30,OUT027,0.6586315517838741,1.0,0.07789047218195551,0.8333333333333333,0.8626150476298475,1.0,1.0,0.3333333333333333,1.0,0.8565745837492756
